method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized
fedavg_mean,FR_S0_congruent_iid,7,1,0.6529702537520561,0.6813981945837512,0.36118291004088,0.6591820368885325,0.3988684582743989,0.4699999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.6524765629768372,0.7224875,0.355019369229848,0.69,0.45614035087719296,0.6787734011220113,0.5608237277031488,0.2511281440606072,0.6561176732783597,0.2627633129719916,False
fedavg_mean,FR_S0_congruent_iid,7,2,0.6128082395842673,0.7442166499498496,0.4425617408758282,0.7554129911788292,0.4444444444444444,0.43499999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.6125156259536744,0.7820499999999998,0.42338174202665674,0.786,0.5327510917030568,0.634687708843942,0.5910271269626495,0.26428835674708023,0.8000891464229998,0.0043985432886703224,False
fedavg_mean,FR_S0_congruent_iid,7,3,0.5751694698953208,0.7885697091273821,0.5283962595541107,0.7898957497995188,0.5201465201465202,0.39499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.5748320317268372,0.8131125,0.5096932682285775,0.808,0.5714285714285714,0.5941256511734779,0.6348039746505372,0.298353172149974,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,4,0.538031901898342,0.8186238716148444,0.6026172782189413,0.8075380914194066,0.5714285714285714,0.3499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5374609375,0.836375,0.6062356525345175,0.808,0.5862068965517241,0.556712447016176,0.6686568113912396,0.332200266787884,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,5,0.5064310596623991,0.8431434302908726,0.6421835190673091,0.8275862068965517,0.5889101338432122,0.30999999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.5058398435115814,0.8582624999999999,0.6443478802102527,0.834,0.6139534883720931,0.5213929649939748,0.7454591563088983,0.44429610644947054,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,6,0.48227856218002274,0.8638796389167503,0.6704484574974166,0.8436246992782679,0.6183953033268101,0.27499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.481908203125,0.87325,0.6686141607976401,0.844,0.625,0.49461878588079,0.7858012657657795,0.5163093036386535,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,7,0.46387423571339587,0.879382146439318,0.693266267384169,0.8580593424218124,0.632016632016632,0.25499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.4639882814884186,0.8820625000000001,0.6842795423995384,0.866,0.6455026455026455,0.47317315116342046,0.8267119789369098,0.6199394311762639,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,8,0.44843327131573446,0.8875105315947843,0.704832612493933,0.8572574178027266,0.6260504201680672,0.245,10,"0,1,2,3,4,5,6,7,8,9",0.44914062452316283,0.8859875,0.6856402851897859,0.87,0.6486486486486487,0.4582002086219103,0.842411493996306,0.6455552427788323,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,9,0.43483657641418477,0.8928786359077232,0.7118999783921658,0.8564554931836408,0.6383838383838384,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.43624609375,0.8890374999999999,0.694492537876307,0.87,0.6524064171122995,0.4445939528097255,0.8558836401365559,0.6852153906350359,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,10,0.4209497322439669,0.8972437311935807,0.7193229908657323,0.8532477947072975,0.6332665330661322,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.4227812498807907,0.8925625,0.7049718719152486,0.87,0.6596858638743456,0.43074741964221186,0.8688821021814201,0.7104173124454286,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,11,0.40824071485803143,0.8993660982948847,0.7238474940278248,0.8548516439454691,0.6343434343434343,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.4104365231990814,0.8935124999999999,0.7071592953279365,0.874,0.6631016042780749,0.4183085989867071,0.8722080445987344,0.7218877626358607,0.7996434143080009,0.0,False
fedavg_mean,FR_S0_congruent_iid,7,12,0.39550428845305013,0.9014423269809428,0.7284325413990379,0.8644747393744988,0.6442105263157895,0.24999999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.398462890625,0.8946749999999999,0.7123420111246869,0.874,0.6631016042780749,0.4075973167407744,0.8752930661786054,0.7157478628411815,0.7998662803655003,0.0021992716443351612,False
fedavg_mean,FR_S0_congruent_iid,7,13,0.38289570752247487,0.9030531594784353,0.7323198539274018,0.8516439454691259,0.669051878354204,0.21999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.3863144530057907,0.8957375,0.715469095932518,0.86,0.6634615384615384,0.39278183849904114,0.8839379259259873,0.7346392164239121,0.8000891464229998,0.004393645133560445,False
fedavg_mean,FR_S0_congruent_iid,7,14,0.3711344728301598,0.9048284854563691,0.7369553545872554,0.8548516439454691,0.6738738738738739,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.37505859375,0.8967499999999999,0.7210104018882645,0.866,0.6731707317073171,0.3819861653548773,0.8847895622687011,0.7362808614125868,0.8045464675729886,0.04737570945056896,False
fedavg_mean,FR_S0_congruent_iid,7,15,0.36082907579092377,0.9065837512537613,0.7410857061554041,0.8572574178027266,0.6603053435114504,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.3652719725370407,0.8970624999999999,0.7232751417257055,0.872,0.673469387755102,0.37023928501782927,0.8888561146875122,0.7483630443143797,0.8130153777579675,0.12428978083310914,False
fedavg_mean,FR_S0_congruent_iid,7,16,0.350065743686585,0.9079277833500502,0.7441312624762194,0.8604651162790697,0.6836363636363636,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.3549013671875,0.8981375,0.7260308745817072,0.868,0.6764705882352942,0.36071418224104745,0.8887870874128524,0.74932274489411,0.8306217963004234,0.2781016899166821,False
fedavg_mean,FR_S0_congruent_iid,7,17,0.34043932014832806,0.9091514543630892,0.7471051001133991,0.8612670408981555,0.6860254083484574,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.3455363770723343,0.9002625000000001,0.7315164708393037,0.868,0.6764705882352942,0.34851678181045276,0.895417798938483,0.7581915524549284,0.8448852239803878,0.3841103556102796,False
fedavg_mean,FR_S0_congruent_iid,7,18,0.3318275384718452,0.9106278836509529,0.7507644876058248,0.8644747393744988,0.6841121495327103,0.245,10,"0,1,2,3,4,5,6,7,8,9",0.3372592774629593,0.902075,0.734764477380862,0.872,0.68,0.34216343969312574,0.8908612239280885,0.7543071019299132,0.8573657232003565,0.47403583380978936,False
fedavg_mean,FR_S0_congruent_iid,7,19,0.32418507553858095,0.9119679037111335,0.75471590979853,0.863672814755413,0.6897810218978102,0.24999999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.32972558605670926,0.903075,0.739737034911228,0.868,0.6764705882352942,0.33353112066458934,0.8946063558599026,0.7612203261253752,0.8687318921328282,0.5402507642408018,False
fedavg_mean,FR_S0_congruent_iid,7,20,0.317350361391651,0.9133279839518555,0.7580346927143159,0.8652766639935846,0.6865671641791045,0.25499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.32286279296875,0.90495,0.7477689020006689,0.872,0.68,0.3272988693350696,0.8951501795962346,0.7612341272906781,0.8705148205928237,0.5629038337212205,False
fedavg_mean,FR_S0_congruent_iid,7,21,0.31086335736890747,0.9144633901705115,0.7613922640385022,0.867682437850842,0.6880907372400756,0.27499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.316173095703125,0.9061250000000001,0.7496873530424112,0.872,0.68,0.3193933815561054,0.8989078681615024,0.7705890282163687,0.8774236683753064,0.5986652459649602,False
fedavg_mean,FR_S0_congruent_iid,7,22,0.3055698421829303,0.9154603811434303,0.7635637600135354,0.8748997594226142,0.6438356164383562,0.38999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.3109945068359375,0.907275,0.7540563062823411,0.888,0.6781609195402298,0.31546165374862556,0.8974999342675911,0.7689854073469605,0.8825495876977937,0.6235640025416598,False
fedavg_mean,FR_S0_congruent_iid,7,23,0.3005241388761242,0.9166479438314945,0.7676875234233307,0.8765036086607859,0.6531531531531531,0.38999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.30635839855670927,0.90835,0.754410981549028,0.89,0.6857142857142857,0.30902275083748887,0.901509117944715,0.7709491243154766,0.8809895252952975,0.6180027335929855,False
fedavg_mean,FR_S0_congruent_iid,7,24,0.29624705242460597,0.9175386158475427,0.7700448338473799,0.8748997594226142,0.6486486486486487,0.38999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.30198596197366717,0.9093374999999999,0.7580126407245799,0.89,0.6857142857142857,0.3035631105951352,0.9041498564797457,0.7751751879149684,0.8850011143302875,0.6414811967372507,False
fedavg_mean,FR_S0_congruent_iid,7,25,0.29236921538399424,0.918345035105316,0.7721093720861592,0.8797113071371291,0.6710526315789473,0.37499999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.2981481932997704,0.9102125000000001,0.759044748735184,0.886,0.6850828729281768,0.300068613220648,0.9043892323603574,0.7788145542521563,0.8836639179852909,0.638101101375748,False
fedavg_mean,FR_S0_congruent_iid,7,26,0.28936892383415985,0.9188345035105316,0.7729449733649201,0.8797113071371291,0.6696035242290749,0.3999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.29455285641551016,0.9114500000000001,0.7636377738718106,0.888,0.6888888888888889,0.2997143691974784,0.9009124182231737,0.7787353724506212,0.8865611767327836,0.6534302196113602,False
fedavg_mean,FR_S0_congruent_iid,7,27,0.2868688074750908,0.9193239719157473,0.7742032329410902,0.8789093825180433,0.6666666666666666,0.3999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.2916695556938648,0.9126125,0.7659035052413762,0.89,0.6927374301675978,0.29503284209763414,0.9044088667967043,0.7829208508349312,0.8878983730777803,0.6608322195531746,False
fedavg_mean,FR_S0_congruent_iid,7,28,0.28426458364548257,0.9197713139418254,0.7748055750740317,0.8805132317562149,0.6725274725274726,0.41999999999999993,10,"0,1,2,3,4,5,6,7,8,9",0.28883007818460465,0.9130375,0.7661157399277276,0.89,0.6927374301675978,0.29187500738861144,0.9058191687333014,0.782278994115067,0.8874526409627813,0.6600995091274477,False
fedavg_mean,FR_S0_congruent_iid,7,29,0.2820975907810134,0.9202888665997995,0.7754318142175731,0.8821170809943866,0.6783369803063457,0.4099999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.28638916015625,0.914025,0.7711273451266103,0.89,0.6927374301675978,0.2882688151207963,0.9078860639181442,0.7872957491429408,0.8870069088477824,0.6641479145822954,False
fedavg_mean,FR_S0_congruent_iid,7,30,0.28018964265429125,0.9208485456369108,0.776933048020515,0.8829190056134724,0.6812227074235808,0.4149999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.28390631106495856,0.91505,0.7729690327678893,0.888,0.6888888888888889,0.28705094820118865,0.9076513520122481,0.7866435922613317,0.8872297749052819,0.6622203672186145,False
fedavg_mean,FR_S0_congruent_iid,7,31,0.27838390499186116,0.9213360080240722,0.778002359311853,0.8829190056134724,0.6826086956521739,0.4099999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.2816632995903492,0.9160499999999999,0.7756546403224117,0.888,0.6923076923076923,0.2861205123901261,0.9080125987682812,0.7837151288440778,0.8901270336527747,0.6722783064581832,False
fedavg_mean,FR_S0_congruent_iid,7,32,0.2768497666061737,0.9218094282848546,0.7788829613811474,0.8532477947072975,0.692436974789916,0.21999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.27988946533203124,0.9165125,0.7768720124358152,0.862,0.6905829596412556,0.2858951382084947,0.9082295070517681,0.7845068708454432,0.8899041675952752,0.6691278047749212,False
fedavg_mean,FR_S0_congruent_iid,7,33,0.2754117939456903,0.9223329989969911,0.7795511330846304,0.8556535685645549,0.696969696969697,0.21999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.2777571106553078,0.91745,0.7806737286636674,0.866,0.6968325791855203,0.2807942801085617,0.9100206181042944,0.7934019453922264,0.8899041675952752,0.6765490071441943,False
fedavg_mean,FR_S0_congruent_iid,7,34,0.2741794539936658,0.9228726178535607,0.7812753791180457,0.8548516439454691,0.6957983193277311,0.21499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.2757434387207031,0.918625,0.7831079634570122,0.866,0.6995515695067265,0.27839707576713135,0.9121612834529553,0.7942689549253987,0.8925785602852686,0.6876829420248335,False
fedavg_mean,FR_S0_congruent_iid,7,35,0.27306896420053794,0.9233881644934804,0.782388727038838,0.8556535685645549,0.696969696969697,0.21499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.27479705810546873,0.9194,0.7846863326880763,0.866,0.6995515695067265,0.27976229691893323,0.9103998229075627,0.7918706661917159,0.8910184978827724,0.6822986652075606,False
fedavg_mean,FR_S0_congruent_iid,7,36,0.27188550866692185,0.9236870611835507,0.7831121983476117,0.8548516439454691,0.6947723440134908,0.21999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.27305746454000474,0.9199875,0.7855627436096522,0.868,0.7027027027027027,0.27820802933127786,0.9119093146858003,0.7930391003571936,0.888789837307778,0.6733990670420933,False
fedavg_mean,FR_S0_congruent_iid,7,37,0.27084978304821294,0.9242126379137412,0.7849241764858298,0.8556535685645549,0.6938775510204082,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2717891540825367,0.9203125000000001,0.7856363439211951,0.87,0.7058823529411765,0.277393802741415,0.9116430554808506,0.7937359845449395,0.8914642299977713,0.6781867990924101,False
fedavg_mean,FR_S0_congruent_iid,7,38,0.27019910035175426,0.9245215646940822,0.7851241859124208,0.859663191659984,0.697754749568221,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.27085766598582267,0.9210124999999999,0.788219777923924,0.872,0.7064220183486238,0.2769884798025697,0.9123151416064964,0.7915157882919297,0.8863383106752841,0.6686463810904326,False
fedavg_mean,FR_S0_congruent_iid,7,39,0.2693022947516457,0.9249648946840522,0.7860744576664773,0.859663191659984,0.697754749568221,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.2695474548339844,0.9215375000000001,0.7884681748088764,0.872,0.7064220183486238,0.2755772875721959,0.9126781594051978,0.7940144995905845,0.8892355694227769,0.6720846952628583,False
fedavg_mean,FR_S0_congruent_iid,7,40,0.26937491785504863,0.9250591775325979,0.7864927322921854,0.8572574178027266,0.6909722222222222,0.21999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.26880325317382814,0.9231125,0.7935568930069634,0.874,0.7123287671232876,0.2731850396253124,0.9143982651200128,0.7969232666254739,0.892801426342768,0.6870631429319116,False
