method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized,variant
ditto_concat_personal,FR_S1_congruent_non_iid,11,1,0.6115666603365066,0.6540842527582748,0.3047776122781808,0.5613472333600642,0.4137191854233655,0.42499999999999993,10,"0,1,2,3,4,5,6,7,8,9",0.613565714169222,0.6444408780030122,0.3250615243372788,0.5079681274900398,0.3960880195599022,3.8534359743762576,nan,nan,0.8002229654403568,0.0008860704512878427,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,2,0.589430375900647,0.7127863590772316,0.37321733203472995,0.7546110665597434,0.3952569169960474,0.4149999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5911418344368075,0.7028838794103849,0.39538088218231005,0.7310756972111554,0.43037974683544306,5.400488777915504,nan,nan,0.8051282051282052,0.011881211603690791,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,3,0.5673738550304713,0.7602828485456369,0.4382511474818159,0.7321571772253408,0.48773006134969327,0.38499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.5688638615968719,0.7544998888916323,0.4695763734229533,0.703187250996016,0.4734982332155477,8.596139358118625,nan,nan,0.8379041248606466,0.06546513068252198,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,4,0.5462838260259488,0.7925697091273822,0.48728043674544314,0.7947072975140337,0.5151515151515151,0.36499999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.5477656472337423,0.7871040221229105,0.5155672657176659,0.7749003984063745,0.5065502183406113,13.358311370756049,nan,nan,0.8782608695652174,0.1055467961989701,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,5,0.5274675204505366,0.8159217652958877,0.5260345284501702,0.805934242181235,0.5433962264150943,0.33999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.5289054757520614,0.8131651070343944,0.5618532795378157,0.7948207171314741,0.5462555066079295,19.664716241989645,nan,nan,0.8940914158305463,0.11678833968779721,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,6,0.5117608023742962,0.8370872617853561,0.5703594995795822,0.8195669607056937,0.5544554455445545,0.31999999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.5131196459799109,0.8354114713216957,0.6094324244410644,0.8247011952191236,0.5925925925925926,27.50192349470047,nan,nan,0.8931995540691193,0.11674129889342093,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,7,0.49905099812421805,0.8548966900702106,0.6100418784106247,0.8051323175621492,0.5874363327674024,0.295,10,"0,1,2,3,4,5,6,7,8,9",0.5003430834004603,0.8551764153971506,0.653122191571168,0.8087649402390438,0.616,36.86311170555145,nan,nan,0.8923076923076924,0.11646245412007541,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,8,0.4887143109801663,0.8690010030090269,0.6503242528288803,0.8412189254210104,0.5714285714285714,0.295,10,"0,1,2,3,4,5,6,7,8,9",0.48989672864363576,0.8734105330732574,0.6897787907803032,0.8565737051792829,0.6326530612244898,47.73961645432539,nan,nan,0.8909698996655518,0.11570619025182735,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,9,0.48014027701715045,0.8791835506519559,0.6747545919483604,0.8163592622293504,0.6214876033057851,0.26999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.48120136632293664,0.8854102367842769,0.7148225793769469,0.8187250996015937,0.6345381526104418,60.101674918160924,nan,nan,0.8907469342251951,0.1156915746552435,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,10,0.4726323403513775,0.8863691073219659,0.6923124003138411,0.8516439454691259,0.5898004434589801,0.285,10,"0,1,2,3,4,5,6,7,8,9",0.4734967138930951,0.8928915335423816,0.735741334869586,0.8705179282868526,0.6524064171122995,73.93782363666207,nan,nan,0.8920847268673355,0.11865665724033525,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,11,0.4661898403521837,0.8901043129388163,0.6997684880232511,0.8396150761828388,0.6323529411764706,0.26999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.4668313121069265,0.8970766153922125,0.7440341883162294,0.848605577689243,0.6513761467889908,89.23282232996878,nan,nan,0.8929765886287625,0.14075532980400673,True,personal
ditto_concat_personal,FR_S1_congruent_non_iid,11,12,0.4601219335725359,0.8934784353059178,0.7088486493624917,0.8652766639935846,0.625,0.29,10,"0,1,2,3,4,5,6,7,8,9",0.4605454626473762,0.900953062887336,0.7519647767667157,0.8784860557768924,0.6702702702702703,106.00117583088785,nan,nan,0.8954292084726867,0.16179646081137053,True,personal
