method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized
fedavg_concat,FR_S1_congruent_non_iid,11,1,0.6052807932771868,0.6630852557673018,0.3140672688483273,0.5998396150761829,0.4038231780167264,0.41999999999999993,10,"0,1,2,3,4,5,6,7,8,9",0.6070328055624943,0.6556751685143577,0.33396948727669856,0.547808764940239,0.3914209115281501,0.6006645416402764,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,2,0.5772917531161855,0.7306519558676028,0.391928130786585,0.7530072173215717,0.44404332129963897,0.3999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5787708626325387,0.7212167600799981,0.40181082906254767,0.7310756972111554,0.46215139442231074,0.5693966891720409,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,3,0.5502440271945409,0.7643691073219658,0.44385159246671885,0.7554129911788292,0.49917898193760263,0.36499999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.5514698940444278,0.7594503839411373,0.46466725890486676,0.7211155378486056,0.4852941176470588,0.5417206644280964,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,4,0.526421230080229,0.7842788365095286,0.4794229749370266,0.7818765036086608,0.5125448028673835,0.33499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.5274915918411012,0.7824374706797363,0.5001530250421184,0.7709163346613546,0.5188284518828452,0.5169414553355214,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,5,0.5056729919927638,0.7942688064192578,0.4984987511276222,0.8051323175621492,0.5130260521042084,0.30499999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.5065713675611048,0.7933631268363744,0.5188646918872932,0.8087649402390438,0.5471698113207547,0.4977548863244562,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,6,0.4895201593326777,0.8057673019057172,0.5160282187779421,0.8147554129911788,0.5314401622718052,0.27499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.490473661289747,0.8050295054443101,0.531185098187184,0.8187250996015937,0.5603864734299517,0.4817418718550649,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,7,0.47853050510598455,0.8159458375125376,0.5341368813657201,0.8003207698476343,0.5345794392523364,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.4793171062175021,0.8174983333744846,0.552398191347453,0.8087649402390438,0.5752212389380531,0.4702034117153523,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,8,0.47204227306982377,0.8240280842527583,0.5552238879215097,0.8083400160384924,0.5394990366088632,0.21499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.47276519316126153,0.8271771067381052,0.5741271667285466,0.8147410358565738,0.579185520361991,0.46317194670671336,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,9,0.4693044591590511,0.8324032096288866,0.5724177740516703,0.813953488372093,0.5433070866141733,0.195,10,"0,1,2,3,4,5,6,7,8,9",0.4699249860062542,0.8374361126885755,0.5934742180921732,0.8247011952191236,0.5849056603773585,0.4600108008653158,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,10,0.46738499983750825,0.8420561685055166,0.5950766070972111,0.8163592622293504,0.550098231827112,0.18,10,"0,1,2,3,4,5,6,7,8,9",0.467860975113523,0.8479173353744351,0.6203378797270398,0.8286852589641435,0.5904761904761905,0.45729134196089527,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,11,0.466314072358484,0.848543630892678,0.6083758350303051,0.8115477145148356,0.5607476635514018,0.16499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.4666276304607847,0.8555714673711761,0.6355411084988645,0.8247011952191236,0.6071428571428571,0.45595681553201933,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,12,0.46494908216196534,0.8551434302908727,0.6234609407435979,0.813953488372093,0.5703703703703704,0.15499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.4650159104174352,0.8632379447421051,0.6501708574877888,0.8227091633466136,0.611353711790393,0.4553221604530362,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,13,0.4657326030702522,0.8600561685055166,0.6312795157978595,0.8075380914194066,0.5959595959595959,0.13999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.4655499153165703,0.8680402953013505,0.6581906222616623,0.8147410358565738,0.6204081632653061,0.45566569791822265,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,14,0.4639247478058363,0.8642527582748244,0.6395098287350053,0.846832397754611,0.5484633569739953,0.16499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.46358900122433544,0.8724352485123824,0.6686253668097388,0.8725099601593626,0.6235294117647059,0.4565192876867493,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,15,0.4613819194490085,0.868704112337011,0.6484142525231171,0.8340016038492382,0.6101694915254238,0.13999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.4608553136249937,0.876435149749389,0.6793744060785601,0.8386454183266933,0.6301369863013698,0.45387064649109854,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,16,0.4593125146775601,0.873087261785356,0.6564940042939051,0.8331996792301524,0.6119402985074627,0.135,10,"0,1,2,3,4,5,6,7,8,9",0.4586366472016293,0.8810399743216216,0.6909339307303334,0.8386454183266933,0.6367713004484304,0.45189264829674425,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,17,0.45733706367522503,0.8765155466399198,0.6635491033125083,0.8444266238973537,0.5854700854700855,0.145,10,"0,1,2,3,4,5,6,7,8,9",0.4563139022821449,0.8843361892298957,0.6953490700020671,0.8585657370517928,0.6358974358974359,0.4511821640591026,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,18,0.45451583755714187,0.8787201604814442,0.6683433356014129,0.842822774659182,0.6230769230769231,0.135,10,"0,1,2,3,4,5,6,7,8,9",0.45331369227622137,0.8868793363126836,0.7026441840609683,0.852589641434263,0.6476190476190476,0.4492379343189058,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,19,0.4525472458448999,0.8812016048144433,0.67318188170732,0.8243785084202085,0.6151142355008787,0.12499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.45079107517265227,0.8893607565245303,0.7084158333231515,0.8406374501992032,0.6521739130434783,0.4485246244365289,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,20,0.45039598630635186,0.8831675025075225,0.6768955956545881,0.8452285485164395,0.6323809523809524,0.13,10,"0,1,2,3,4,5,6,7,8,9",0.4484386663750348,0.8910891089108911,0.7142601496368715,0.852589641434263,0.6509433962264151,0.4447023655434317,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,21,0.44779316445255435,0.8853019057171514,0.6815951527693347,0.846832397754611,0.6333973128598849,0.13,10,"0,1,2,3,4,5,6,7,8,9",0.4457059404052111,0.89341003925829,0.7199073377123503,0.8585657370517928,0.6602870813397129,0.4440825465381345,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,22,0.4442520380474227,0.8872597793380139,0.6859715590498412,0.8548516439454691,0.6173361522198731,0.13999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.44193538928411874,0.8952618453865336,0.7233718355908434,0.8685258964143426,0.6632653061224489,0.43992438379139404,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,23,0.4413838281976574,0.8888445336008024,0.6887120516866019,0.8476343223736968,0.6346153846153846,0.13,10,"0,1,2,3,4,5,6,7,8,9",0.4388894631093242,0.8967803264116936,0.7276898364596316,0.8625498007968128,0.6698564593301436,0.43799733346122566,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,24,0.43816869708902856,0.8900842527582747,0.6914334332203584,0.8476343223736968,0.6360153256704981,0.13,10,"0,1,2,3,4,5,6,7,8,9",0.4352171454296644,0.8979161008370165,0.7298628718014541,0.8645418326693227,0.6730769230769231,0.4348118806081339,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,25,0.43651472291376653,0.8911895687061183,0.6940886552630285,0.8524458700882117,0.6260162601626016,0.135,10,"0,1,2,3,4,5,6,7,8,9",0.43328468091934325,0.8989037307720797,0.7326394340851374,0.8685258964143426,0.67,0.4308929752670602,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,26,0.432209761743079,0.892567703109328,0.6978141289852396,0.8444266238973537,0.6433823529411765,0.12499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.42854704194334875,0.900743191526135,0.7369460186453279,0.8565737051792829,0.6666666666666666,0.43075853139992676,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,27,0.4292757733999105,0.8937071213640924,0.7006981407741181,0.8620689655172413,0.630901287553648,0.145,10,"0,1,2,3,4,5,6,7,8,9",0.42526475628058746,0.9017184760870101,0.741030630349949,0.8705179282868526,0.6666666666666666,0.4260197394410171,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,28,0.42638269508946103,0.8948726178535606,0.7031270313065692,0.8492381716118684,0.6518518518518519,0.12499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.4219807734289967,0.9028665958865212,0.7441102435207793,0.8625498007968128,0.6729857819905213,0.4226722013101463,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,29,0.4231583487179725,0.8961845536609829,0.7063564096130799,0.8492381716118684,0.6505576208178439,0.12499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.41841058664587866,0.9046937112663884,0.7494029575127559,0.8625498007968128,0.6729857819905213,0.4201833269418681,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,30,0.4195549826719518,0.8969969909729187,0.7088845547815817,0.8500400962309543,0.6543438077634011,0.12499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.41424901516314044,0.9060393570529123,0.752668109821174,0.8645418326693227,0.6792452830188679,0.4179159453938172,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,31,0.4160156740770401,0.8978294884653961,0.7106482155595971,0.8532477947072975,0.660482374768089,0.12499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.41042616678424093,0.9069652601170342,0.7557760902048927,0.8645418326693227,0.6792452830188679,0.41220701492184914,nan,nan,0.7997770345596432,0.0,False
fedavg_concat,FR_S1_congruent_non_iid,11,32,0.41266916372007434,0.899063189568706,0.7133030030519236,0.8588612670408982,0.649402390438247,0.135,10,"0,1,2,3,4,5,6,7,8,9",0.4067166431016656,0.9080393076714156,0.7587687444845571,0.8725099601593626,0.6831683168316832,0.4091533417411672,nan,nan,0.7997770345596432,0.0,False
