method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized
fedavg_concat,FR_S2_non_congruent_iid,11,1,0.611799575800693,0.6640962888665999,0.31184560857435034,0.545308740978348,0.40752351097178685,0.42499999999999993,10,"0,1,2,3,4,5,6,7,8,9",0.6239296770095826,0.5797875000000001,0.22561034538235283,0.398,0.3609341825902335,0.6236218892707043,0.5433641522493626,0.23119634114743207,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,2,0.5906738635531978,0.7308224674022066,0.3952310246594127,0.7530072173215717,0.4652777777777778,0.4149999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.6076953125,0.6195999999999999,0.24253427930626428,0.57,0.40443213296398894,0.6047479131717525,0.5844732485879325,0.2658149612449606,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,3,0.5699741956512738,0.7785235707121364,0.46971470261075093,0.809943865276664,0.4768211920529801,0.3999999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5909882807731628,0.644825,0.25380295490432125,0.638,0.43613707165109034,0.5873861266239889,0.5986824188652624,0.27786522284878207,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,4,0.5490427021752765,0.8064633901705115,0.5223219088075005,0.8259823576583801,0.41192411924119243,0.38499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.5740468740463257,0.6547750000000001,0.25906294106163225,0.664,0.44370860927152317,0.5709723948648626,0.6332065592844617,0.3046837621463753,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,5,0.5298356675298671,0.8260882647943831,0.5603107955368114,0.8291900561347233,0.48175182481751827,0.35999999999999993,10,"0,1,2,3,4,5,6,7,8,9",0.5574960911273956,0.6567000000000001,0.25654705567565955,0.626,0.45161290322580644,0.5560455893869785,0.6494436011421345,0.3292736931925118,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,6,0.5116044120876523,0.8365295887662989,0.5811050688964201,0.8364073777064955,0.4426229508196721,0.3449999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5411835932731628,0.6508875,0.24958042902210673,0.642,0.4525993883792049,0.5430044395994816,0.6436554576157674,0.34070172609010746,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,7,0.49596218154156985,0.844184553660983,0.5928015864603535,0.8396150761828388,0.42857142857142855,0.32499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.525621098279953,0.651025,0.2483018910138321,0.636,0.45180722891566266,0.5294685950782959,0.6630106853477622,0.3737962909172263,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,8,0.48272024222919246,0.8497171514543631,0.6000451501821354,0.8372093023255814,0.428169014084507,0.30499999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.5118027341365814,0.6548375,0.25392132876188794,0.622,0.44574780058651026,0.5175883540311209,0.675906957655221,0.3910506817539525,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,9,0.47179637329522955,0.8564493480441324,0.6140268299227962,0.838813151563753,0.45231607629427795,0.285,10,"0,1,2,3,4,5,6,7,8,9",0.49933593392372133,0.6681625,0.272231648241973,0.616,0.4482758620689655,0.5064994624324172,0.6954046086841088,0.419376183330111,0.7996434143080009,0.0,False
fedavg_concat,FR_S2_non_congruent_iid,11,10,0.4632250214206188,0.8621003009027082,0.6280145831319434,0.8340016038492382,0.33865814696485624,0.285,10,"0,1,2,3,4,5,6,7,8,9",0.48876171588897704,0.6837125,0.2875643916830987,0.662,0.4565916398713826,0.49783967741884844,0.7083074718550227,0.43340279783731783,0.7996434143080009,0.0,False
